TABLE_QUALIFIER                                                                                                                  TABLE_OWNER                                                                                                                      TABLE_NAME                                                                                                                       TABLE_TYPE                       REMARKS                                                                                                                                                                                                                                                       
ODA                                                                                                                              sys                                                                                                                              dm_filestream_file_io_handles                                                                                                    VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_filestream_file_io_requests                                                                                                   VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_filestream_non_transacted_handles                                                                                             VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_fts_active_catalogs                                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_fts_fdhosts                                                                                                                   VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_fts_index_population                                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_fts_memory_buffers                                                                                                            VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_fts_memory_pools                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_fts_outstanding_batches                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_fts_population_ranges                                                                                                         VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_fts_semantic_similarity_population                                                                                            VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_ag_threads                                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_auto_page_repair                                                                                                         VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_automatic_seeding                                                                                                        VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_availability_group_states                                                                                                VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_availability_replica_cluster_nodes                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_availability_replica_cluster_states                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_availability_replica_states                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_cached_database_replica_states                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_cached_replica_states                                                                                                    VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_cluster                                                                                                                  VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_cluster_members                                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_cluster_networks                                                                                                         VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_database_replica_cluster_states                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_database_replica_states                                                                                                  VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_db_threads                                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_instance_node_map                                                                                                        VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_name_id_map                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hadr_physical_seeding_stats                                                                                                   VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hpc_device_stats                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_hpc_thread_proxy_stats                                                                                                        VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_io_backup_tapes                                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_io_cluster_shared_drives                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_io_cluster_valid_path_names                                                                                                   VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_io_pending_io_requests                                                                                                        VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_logpool_hashentries                                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_logpool_stats                                                                                                                 VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_buffer_descriptors                                                                                                         VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_buffer_pool_extension_configuration                                                                                        VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_child_instances                                                                                                            VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_cluster_nodes                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_cluster_properties                                                                                                         VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_dispatcher_pools                                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_dispatchers                                                                                                                VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_enumerate_fixed_drives                                                                                                     VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_host_info                                                                                                                  VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_hosts                                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_job_object                                                                                                                 VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_latch_stats                                                                                                                VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_loaded_modules                                                                                                             VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_memory_allocations                                                                                                         VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_memory_broker_clerks                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_memory_brokers                                                                                                             VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_memory_cache_clock_hands                                                                                                   VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_memory_cache_counters                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_memory_cache_entries                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_memory_cache_hash_tables                                                                                                   VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_memory_clerks                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_memory_node_access_stats                                                                                                   VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_memory_nodes                                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_memory_objects                                                                                                             VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_memory_pools                                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_nodes                                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_out_of_memory_events                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_performance_counters                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_process_memory                                                                                                             VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_os_ring_buffers                                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
